line_cleaned,station_cleaned,line_fixed,station_fixed
BD,BLOOR STATION,BD,YONGE BD STATION
BD,"BROADVIEW STATION, YONGE BD STATION",BD,
BD,KENNEDY BD STATION,BD,KENNEDY BD STATION
BD,"KENNEDY BD STATION, KIPLING STATION",BD,"KENNEDY BD STATION, KIPLING STATION"
BD,KENNEDY STATION,BD,KENNEDY BD STATION
BD,"KIPLING STATION, KENNEDY BD STATION",BD,KENNEDY BD STATION
BD,"PAPE STATION, ST GEORGE BD STATION",BD,"PAPE STATION, ST GEORGE BD STATION"
BD,SPADINA BD STATION,BD,SPADINA BD STATION
BD,SPADINA STATION,BD,SPADINA BD STATION
BD,SPADINA YU STATION,BD,SPADINA BD STATION
BD,ST GEORGE BD STATION,BD,ST GEORGE BD STATION
BD,"ST GEORGE BD STATION, BROADVIEW STATION",BD,"ST GEORGE BD STATION, BROADVIEW STATION"
BD,ST GEORGE YU STATION,BD,ST GEORGE BD STATION
BD,"VICTORIA PARK STATION, KENNEDY BD STATION",BD,KENNEDY BD STATION
BD,YONGE BD STATION,BD,YONGE BD STATION
SHP,SHEPPARD STATION,SHP,YONGE SHP STATION
SHP,SHEPPARD-YONGE STATION,SHP,YONGE SHP STATION
SHP,YONGE SHP STATION,SHP,YONGE SHP STATION
SRT,KENNEDY BD STATION,SRT,KENNEDY SRT STATION
SRT,KENNEDY SRT STATION,SRT,KENNEDY SRT STATION
SRT,"KENNEDY SRT STATION, MCCOWAN STATION",SRT,"KENNEDY SRT STATION, MCCOWAN STATION"
SRT,"MCCOWAN STATION, KENNEDY SRT STATION",SRT,"MCCOWAN STATION, KENNEDY SRT STATION"
YU,BLOOR STATION,YU,BLOOR STATION
YU,"BLOOR STATION, OSGOODE STATION",YU,"BLOOR STATION, OSGOODE STATION"
YU,BLOOR-YONGE STATION,YU,BLOOR STATION
YU,"DAVISVILLE STATION, BLOOR STATION",YU,"DAVISVILLE STATION, BLOOR STATION"
YU,"EGLINTON STATION, BLOOR STATION",YU,"EGLINTON STATION, BLOOR STATION"
YU,SHEPPARD STATION,YU,SHEPPARD STATION
YU,SPADINA BD STATION,YU,SPADINA YU STATION
YU,SPADINA STATION,YU,SPADINA YU STATION
YU,SPADINA YU STATION,YU,SPADINA YU STATION
YU,ST GEORGE BD STATION,YU,ST GEORGE YU STATION
YU,ST GEORGE STATION,YU,ST GEORGE YU STATION
YU,ST GEORGE YU STATION,YU,ST GEORGE YU STATION
YU,YONGE BD STATION,YU,BLOOR STATION
YU,YONGE SHP STATION,YU,SHEPPARD STATION
