station,line,xcoord,ycoord
VAUGHAN MC STATION,YU,8,22
HIGHWAY 407 STATION,YU,8,21
PIONEER VILLAGE STATION,YU,9,20
YORK UNIVERSITY STATION,YU,10,19
FINCH WEST STATION,YU,11,18
DOWNSVIEW PARK STATION,YU,12,17
SHEPPARD WEST STATION,YU,13,16
WILSON STATION,YU,13,15
YORKDALE STATION,YU,13,14
LAWRENCE WEST STATION,YU,13,13
GLENCAIRN STATION,YU,13,12
EGLINTON WEST STATION,YU,13,11
ST CLAIR WEST STATION,YU,14,10
DUPONT STATION,YU,15,9
SPADINA YU STATION,YU,15,8
ST GEORGE YU STATION,YU,16,8
MUSEUM STATION,YU,16,6
QUEENS PARK STATION,YU,16,5
ST PATRICK STATION,YU,16,4
OSGOODE STATION,YU,16,3
ST ANDREW STATION,YU,16,2
UNION STATION,YU,17,1
KING STATION,YU,18,2
QUEEN STATION,YU,18,3
DUNDAS STATION,YU,18,4
COLLEGE STATION,YU,18,5
WELLESLEY STATION,YU,18,6
BLOOR STATION,YU,18,8
ROSEDALE STATION,YU,18,9
SUMMERHILL STATION,YU,18,10
ST CLAIR STATION,YU,18,11
DAVISVILLE STATION,YU,18,12
EGLINTON STATION,YU,18,13
LAWRENCE STATION,YU,18,14
YORK MILLS STATION,YU,18,15
SHEPPARD STATION,YU,18,16
NORTH YORK CTR STATION,YU,18,17
FINCH STATION,YU,18,18
KIPLING STATION,BD,1,7
ISLINGTON STATION,BD,2,7
ROYAL YORK STATION,BD,3,7
OLD MILL STATION,BD,4,7
JANE STATION,BD,5,7
RUNNYMEDE STATION,BD,6,7
HIGH PARK STATION,BD,7,7
KEELE STATION,BD,8,7
DUNDAS WEST STATION,BD,9,7
LANSDOWNE STATION,BD,10,7
DUFFERIN STATION,BD,11,7
OSSINGTON STATION,BD,12,7
CHRISTIE STATION,BD,13,7
BATHURST STATION,BD,14,7
SPADINA BD STATION,BD,15,7
ST GEORGE BD STATION,BD,16,7
BAY STATION,BD,17,7
YONGE BD STATION,BD,18,7
SHERBOURNE STATION,BD,19,7
CASTLE FRANK STATION,BD,20,7
BROADVIEW STATION,BD,21,7
CHESTER STATION,BD,22,7
PAPE STATION,BD,23,7
DONLANDS STATION,BD,24,7
GREENWOOD STATION,BD,25,7
COXWELL STATION,BD,26,7
WOODBINE STATION,BD,27,7
MAIN STREET STATION,BD,28,7
VICTORIA PARK STATION,BD,29,8
WARDEN STATION,BD,30,9
KENNEDY BD STATION,BD,31,10
KENNEDY SRT STATION,SRT,31,11
LAWRENCE EAST STATION,SRT,31,12
ELLESMERE STATION,SRT,31,13
MIDLAND STATION,SRT,32,13
SCARB CTR STATION,SRT,33,13
MCCOWAN STATION,SRT,34,13
YONGE SHP STATION,SHP,19,16
BAYVIEW STATION,SHP,20,16
BESSARION STATION,SHP,21,16
LESLIE STATION,SHP,22,16
DON MILLS STATION,SHP,23,16
