station_cleaned,station_fixed
KIPLING STATION,KIPLING STATION
KENNEDY BD STATION,KENNEDY BD STATION
YONGE UNIVERSITY LINE,YU
FINCH STATION,FINCH STATION
SHEPPARD WEST STATION,SHEPPARD WEST STATION
WARDEN STATION,WARDEN STATION
WILSON STATION,WILSON STATION
EGLINTON STATION,EGLINTON STATION
ISLINGTON STATION,ISLINGTON STATION
KEELE STATION,KEELE STATION
VICTORIA PARK STATION,VICTORIA PARK STATION
BLOOR STATION,BLOOR STATION
BLOOR DANFORTH SUBWAY,BD
COXWELL STATION,COXWELL STATION
JANE STATION,JANE STATION
ST CLAIR WEST STATION,ST CLAIR WEST STATION
ST GEORGE BD STATION,ST GEORGE BD STATION
ST GEORGE YUS STATION,ST GEORGE YU STATION
DAVISVILLE STATION,DAVISVILLE STATION
LAWRENCE STATION,LAWRENCE STATION
YONGE BD STATION,YONGE BD STATION
YORK MILLS STATION,YORK MILLS STATION
GREENWOOD STATION,GREENWOOD STATION
UNION STATION,UNION STATION
SHEPPARD STATION,SHEPPARD STATION
EGLINTON WEST STATION,EGLINTON WEST STATION
OLD MILL STATION,OLD MILL STATION
ST CLAIR STATION,ST CLAIR STATION
DUNDAS WEST STATION,DUNDAS WEST STATION
DUNDAS STATION,DUNDAS STATION
YONGE SHP STATION,YONGE SHP STATION
ROYAL YORK STATION,ROYAL YORK STATION
CHRISTIE STATION,CHRISTIE STATION
OSSINGTON STATION,OSSINGTON STATION
DUPONT STATION,DUPONT STATION
BROADVIEW STATION,BROADVIEW STATION
WOODBINE STATION,WOODBINE STATION
MCCOWAN STATION,MCCOWAN STATION
LAWRENCE WEST STATION,LAWRENCE WEST STATION
DONLANDS STATION,DONLANDS STATION
YORKDALE STATION,YORKDALE STATION
COLLEGE STATION,COLLEGE STATION
PAPE STATION,PAPE STATION
WELLESLEY STATION,WELLESLEY STATION
BATHURST STATION,BATHURST STATION
DON MILLS STATION,DON MILLS STATION
MAIN STREET STATION,MAIN STREET STATION
QUEEN STATION,QUEEN STATION
SPADINA BD STATION,SPADINA BD STATION
ROSEDALE STATION,ROSEDALE STATION
KENNEDY SRT STATION,KENNEDY SRT STATION
CHESTER STATION,CHESTER STATION
NORTH YORK CTR STATION,NORTH YORK CTR STATION
GLENCAIRN STATION,GLENCAIRN STATION
YUS/BD/SHEPPARD SUBWAY,YU_BD_SHP
SPADINA YUS STATION,SPADINA YU STATION
KING STATION,KING STATION
QUEENS PARK STATION,QUEENS PARK STATION
SHERBOURNE STATION,SHERBOURNE STATION
BAY STATION,BAY STATION
ST PATRICK STATION,ST PATRICK STATION
MUSEUM STATION,MUSEUM STATION
HIGH PARK STATION,HIGH PARK STATION
DUFFERIN STATION,DUFFERIN STATION
SUMMERHILL STATION,SUMMERHILL STATION
VAUGHAN MC STATION,VAUGHAN MC STATION
CASTLE FRANK STATION,CASTLE FRANK STATION
ST ANDREW STATION,ST ANDREW STATION
LANSDOWNE STATION,LANSDOWNE STATION
OSGOODE STATION,OSGOODE STATION
RUNNYMEDE STATION,RUNNYMEDE STATION
SCARB CTR STATION,SCARB CTR STATION
LESLIE STATION,LESLIE STATION
LAWRENCE EAST STATION,LAWRENCE EAST STATION
BAYVIEW STATION,BAYVIEW STATION
MIDLAND STATION,MIDLAND STATION
ELLESMERE STATION,ELLESMERE STATION
GREENWOOD YARD,NA
BESSARION STATION,BESSARION STATION
TORONTO TRANSIT COMMIS,NA
MCCOWAN STATION TO KEN,"MCCOWAN STATION, KENNEDY SRT STATION"
WILSON YARD,NA
